ObjectID,GlobalID,Well ID,Aquifer,County,Well type,Latitude,Longitude,Suggested sample parts,Previous comments,Date,Time,arrivaltimezone,Wind Direction,Wind Speed,Pressure,Air Temperature,% Cloud Cover,Precipitation,Is WL measureable,Reasons for no WL,Other Comment,Status,MPH description,Hold,Cut,Measure Point Hight,Water Level,Measurement Method,Tape Length,Measurement Comments,OWRB or Onsite pump,Is well prepurged,Top of Screen,Bottom of Screen,Is this a Hydrasleeve Well?,Is the Well Screen Under Water?,Is this a Low Flow Well?,Pump Comments,Estimated Volume Prepurged,Estimated Purge Volume Comments,Well Total Depth,Static Water Level,Casing Diameter,Does this well have a presure tank?,Pressure tank size,Purge Volume,Purge Volume,3 Well Volume Purge Volume,One Well Volume Purge Volume,minimumpurgevol,Target Maximum Drawdown,Pump Used,Initial Pump Depth,Lowflow Purge Volume,Initial Pump Rate,How is the Purge Volume Tracked?,Volume Purged as on Flowmeter,Bucket Method Purge Rate,Start Time,End Time,Volume Purged by Bucket Method,totalpurgevolume,Final DTW for Draw Down,Purge Volume Comment,Final Water Level for Draw Down,Final Pump Depth,Final Pump Rate,Final % Draw Down,Purge Comments,Deployment Date of Hydrasleeve,Water Level at time of Deployment,Which Hydrasleeve set up did you use?,Churn ID,Depth of Hydrasleeve,Depth of Hydrasleeve 2,Sample Set Up or Parts Used,Sample Location Notes,Equipment Blanked Date:,Blanked Equipment Comment,image_count,Historical Temperature,Historical Specific Conductivity,Historical D.O.,Historical pH,Historical ORP,Stabilization Flow Rate,Temperature,Specific Conductivity,D.O.,pH,ORP,Did Sonde Readings Stablize?,Could the reason for not reaching stability be determined?,Reason for Not Reaching Stability,Were Readings Recorded on the Handheld?,Sonde Comments,Sample Flow Rate,Flow Rate Comments,Final Water Level,Final Depth to Water,Final Cut,Final Static Water Level,Reason Final Water Level Cannot be Measured,awqmsfinalwl,Samplers,Sample Time,timezone,QA Code,Activity Code QA 10 (5000__.__),Activity Code QA 12/22 (5000__.__),awqmsnumb22,Specific Conductivity,Historical Total Alkalinity,Historical Hardness,Phen. Alkalinity,Total Alkalinity,Hardness,Phen. Alkalinity,Total Alkalinity,Hardness,Field Chem Comments (22),Phen. Alkalinity,Total Alkalinity,Hardness,Sample Time for Field Blank QA 33,timezone33,Blank Tube Letter,Blank Tube Date,Carboy Letter,Fill Date on Carboy,5000__.__,Field Chem Comments (33),Temperature,Specific Conductivity,D.O.,pH,ORP,Did Sond Readings Stablize?,Could the reason for not reaching stability be determined?,Reason for Not Reaching Stability,Were Readings Recorded on the Handheld?,sonde Comments hydrasleeve,Sample Time,timezonehydra,QA Code,Activity Code QA 10 (5000__.__),Activity Code QA 12/22 (5000__.__),awqmsnumb22hydra,Specific Conductivity,CreationDate,Creator,EditDate,Editor,x,y
1,3522a3a2-916b-4be9-9d2c-d18a1c5d7a56,122987,Antlers,Love,Agriculture (non irr),33.99,-97.24,,,3/7/2022 21:36,15:36,Central Standard Time,n,1,29.3,11.1,75,none,yes,,,normal,,57.4,0,2.8,54.6,electric,300_ft,Hardness diluted to 50%,onsite,no,,,,,,,,,100,54.6,5,yes,50,96.535,,,,96.535,,,,,,flowmeter,97.91,,,,,97.91,,,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,540,16.103,530,1.21,6.82,-7.9,yes,,,,,600,,yes,57.95,0,55.15,,55.15,,16:07,Central Standard Time,10,128.01,,,530,,,0,223,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/7/2022 22:37,harold.robertson_OWRB,3/7/2022 22:37,harold.robertson_OWRB,0,0
2,0c6c52c7-0b11-4315-810d-af8d6d37976d,157335,Antlers,Love,Domestic,33.96,-97.16,,,3/7/2022 23:01,17:01,Central Standard Time,n,23,29.29,9.7,75,none,yes,,,normal,remove vent tube at top of casing,208.02,0,1,207.02,electric,300_ft,,onsite,no,360,380,,,,,,,400,207.02,5,yes,44,250,,,,250,,,,,,flowmeter,252,,,,,252,,,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,520,18.44,745,0.65,7.39,352.6,yes,,,,,600,,yes,213,0,212,,212,,17:52,Central Standard Time,10,128.02,,,745,,,0,319,133,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/8/2022 0:06,harold.robertson_OWRB,3/8/2022 0:06,harold.robertson_OWRB,0,0
3,5eaa4af0-8263-4275-9248-273c4f4ce190,211629,,,,,,,,3/8/2022 0:28,18:28,Central Standard Time,n,3.6,29.38,6.8,50,none,yes,,,normal,,188.39,0,0.7,187.69,black_e_tape,300_ft,,onsite,no,,,,,,,,,495,187.69,4,yes,50,251.59536,,,,251.59536,,,,,,flowmeter,255,,,,,255,,,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,600,18.183,656,0.55,7.34,237.5,yes,,,,,540,,yes,187.9,0,187.2,,187.2,,19:06,Central Standard Time,10,128.03,,,656,,,0,355,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/8/2022 17:15,harold.robertson_OWRB,3/8/2022 17:15,harold.robertson_OWRB,0,0
4,a96aba87-e677-4462-8c93-7d9125b773ef,123960,Antlers,Marshall,Commercial,34.00,-96.71,,,3/8/2022 16:19,10:19,Central Standard Time,e,1,29.32,11.3,100,none,yes,,,normal,,320,0,0,320,,,WL based on hydrologic zone encountered during drilling,onsite,no,401,441,,,,,,,441,3,4.5,yes,50,200,,,,200,,,,,,flowmeter,410,,,,,410,,,,,,,,,,,,,,GHT,East side of carwash,1/18/2022 18:00,,3,,,,,,500,17.67,937,3.08,9.23,196.6,yes,,,,,600,,no,,,,no actual wl available,,,11:06,Central Standard Time,10,128.04,,,937,,,0,412,28,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/8/2022 17:15,harold.robertson_OWRB,3/8/2022 17:15,harold.robertson_OWRB,0,0
5,f5ba2b92-4d55-4bff-923a-8e6eb4e12efe,204804,Antlers,McCurtain,Domestic,34.03,-94.58,,Our well is less than 200 ft deep,3/8/2022 19:44,13:44,Central Standard Time,w,1.2,29.73,11,100,mix,yes,,,flowed_recently,,1.5,0,1,0.5,electric,300_ft,,onsite,yes,151,171,,,,,10000,Artesian Well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,550,16.406,1520,0.24,7.97,146,yes,,,,,600,,yes,1.5,0,0.5,,0.5,,13:56,Central Standard Time,10,129.02,,,1520,,,,407,416,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/8/2022 20:12,zachary.tomlinson_OWRB,3/8/2022 20:12,zachary.tomlinson_OWRB,0,0
6,d75911a7-7af8-4635-bddc-76d9e3f656d0,211673,,,,,,,,3/8/2022 18:59,12:59,Central Standard Time,n,1,29.3,5.3,100,none,yes,,,normal,,124.1,0,1,123.1,electric,300_ft,,onsite,no,,,,,,,,,197.6,123.1,5,yes,50,126.3625,,,,126.3625,,,,,,flowmeter,133,,,,,133,,,,,,,,,,,,,,GHT,Hydrant by shop SW side,1/18/2022 18:00,,3,,,,,,600,16.13,779,1.59,7.24,94.1,yes,,,,,600,,yes,122.88,0,121.88,,121.88,,13:28,Central Standard Time,10,128.05,,,779,,,0,345,12,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/8/2022 23:49,harold.robertson_OWRB,3/8/2022 23:49,harold.robertson_OWRB,0,0
7,674ceeaf-1b99-40ce-9ae2-dfecc474e0d5,25536,,,,,,,,3/8/2022 21:38,15:38,Central Standard Time,nw,0.9,29.39,8.8,100,none,no,other,pws pumping,,,,,,,,,,onsite,yes,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip fitting,DEQ grab sample port,1/18/2022 18:00,,3,,,,,,600,21.69,1185,0.78,9.38,80.4,yes,,,,,600,,,,,,,,,15:42,Central Standard Time,10,128.06,,,1185,,,0,540,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/8/2022 23:49,harold.robertson_OWRB,3/8/2022 23:49,harold.robertson_OWRB,0,0
8,a6d37cdc-6298-4344-bac9-3999c89540c4,156700,Antlers,Bryan,Domestic,34.05,-96.08,,call before so they can secure animals,3/8/2022 22:53,16:53,Central Standard Time,n,0,29.36,12.2,100,none,yes,,,normal,,190.85,0,1.3,189.55,electric,300_ft,,onsite,no,470,480,,,,,,,500,189.55,5,yes,30,348.21125,,,,348.21125,,,,,,flowmeter,353,,,,,353,,,,,,,,,,,,,,GHT,Well House,1/18/2022 18:00,,3,,,,,,600,16.89,821,1.15,8.97,266.2,yes,,,,,600,,yes,225,0,223.7,,223.7,,17:32,Central Standard Time,10,128.07,,,821,,,0,270,14,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/8/2022 23:49,harold.robertson_OWRB,3/8/2022 23:49,harold.robertson_OWRB,0,0
9,7b081035-9e80-4c3f-afb4-5e0d1d4e9b31,25537,,,,,,,,3/9/2022 18:00,9:36,Central Standard Time,ne,1.9,29.49,7.2,0,none,no,other,PWS Running,,,,,,,,,,onsite,yes,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip fitting,,1/18/2022 18:00,,3,,,,,,600,22.01,1251,0.71,9.28,103.4,yes,,,,,600,,,,,,,,,9:41,Central Standard Time,122233,,128.13,128.13Rep,1251,,,0,550,8,0,555,5,,0,0,0,11:45,Central Standard Time,J,10/25/2021 17:00,8,2/16/2022 18:00,128.14,,,,,,,,,,,,,Central Standard Time,,,,,,3/9/2022 16:21,harold.robertson_OWRB,3/9/2022 17:47,harold.robertson_OWRB,0,0
10,6a2b8695-1db7-4b88-ac38-543ba8b874ce,88920,Antlers,Choctaw,Domestic,34.06,-95.59,,domestic supply to the house  will need to shut off and return to static for WL measurement. Permission for WQ if well is sampleable,3/9/2022 14:14,8:14,Central Standard Time,se,1.5,29.51,3.3,0,none,yes,,,recently_pumped,Tight port. Need to hold rope out of the way.,144.94,0,0.86,144.08,black_e_tape,300_ft,Well is leaking,onsite,no,,,,,,,,,225,144.08,4.5,yes,40,107.184,,,,107.184,,,,,,flowmeter,109,,,,,109,,6 gal/min,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,584,18.36,504,1.4,6.92,215.1,yes,,,,,600,,yes,142.93,0,142.07,,142.07,,8:48,Central Standard Time,10,129.03,,,504,,,0,241,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/14/2022 21:49,zachary.tomlinson_OWRB,3/14/2022 21:49,zachary.tomlinson_OWRB,-95.4852645,34.0351335
11,096d9b54-fe17-41a6-8456-df57d2637335,154673,Antlers,Bryan,Public Water Supply,34.05,-96.38,,,3/9/2022 17:15,11:15,Central Standard Time,se,2.6,29.45,16,0,none,no,no_access_point,,,,,,,,,,,onsite,yes,410,565,,,,,10000,PSW running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special,flush hydrant funnel,1/18/2022 18:00,,3,,,,,,600,19.56,1574,3.04,9.3,131,yes,,,,,520,,,,,,,,,11:17,Central Standard Time,10,129.04,,,1574,,,0,510,41,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,3/14/2022 21:49,zachary.tomlinson_OWRB,3/14/2022 21:49,zachary.tomlinson_OWRB,-96.37988817,34.049929
12,43880e03-5ed4-4308-ad3d-3842af4593af,201042,Antlers,Love,Agriculture (non irr),33.92,-97.25,,,3/14/2022 20:12,15:12,Central Daylight Time,se,3.1,29.12,20.7,100,none,yes,,,normal,,83.46,0,1.9,81.56,black_e_tape,300_ft,,onsite,no,,,,,,,,,180,81.56,5,yes,10,110.901,,,,110.901,,,,,,flowmeter,112.67,,,,,112.67,,,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,536,19.497,627,19.4,6.85,262.1,yes,,,,,600,,yes,84.69,0,82.79,,82.79,,15:44,Central Daylight Time,10,130.01,,,627,,,0,312,480,,,,,,,,,,,,,,,,,,,,,,,,,,15:44,Central Daylight Time,10,130.01,,,,3/14/2022 21:49,zachary.tomlinson_OWRB,3/14/2022 21:49,zachary.tomlinson_OWRB,-97.25138567,33.93425917
13,52dfed8f-5883-4f94-8cf1-f96e511d2dcc,178897,Antlers,Marshall,Domestic,34.13,-96.89,,white wellhouse north west of the house,3/15/2022 19:03,14:03,Central Daylight Time,n,6.5,29.18,22,25,none,yes,,,normal,,107.15,0,2.1,105.05,electric,300_ft,,onsite,no,220,240,,,,,,,240,105.05,5,no,,,138.32,,,138.32,,,,,,flowmeter,165.5,,,,,165.5,,,,,,,,,,,,,,ght,,1/18/2022 18:00,,3,,,,,,600,20,559,4.64,6.67,368.6,yes,,,,,600,,yes,117.7,0,115.6,,115.6,,14:46,Central Daylight Time,122233,,,Rep,559,,,0,290,214,0,277,216,,0,0,0,15:38,Central Daylight Time,4,10/25/2021 17:00,Q,2/15/2022 18:00,130.14,,,,,,,,,,,,,Central Daylight Time,,,,,,3/15/2022 21:04,Zachary.McKinney_OWRB,3/15/2022 21:04,Zachary.McKinney_OWRB,0,0
14,dd96e804-d4ce-40e5-bdd0-c4d65546b668,137398,Antlers,Bryan,Domestic,34.13,-96.41,,Locked gate and dogs. Notify first,3/15/2022 17:00,8:33,Central Daylight Time,n,4.7,29.47,12.1,100,none,yes,,,normal,,74.84,0,0.7,74.14,black_e_tape,300_ft,,onsite,no,170,180,,,,,,,200,74.14,5,yes,10,139.0065,,,,139.0065,,,,,,flowmeter,140.46,,,,,140.46,,,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,600,18.079,1021,6.6,9.27,251.6,yes,,,,,584,,yes,75.87,0,75.17,,75.17,,9:06,Central Daylight Time,10,130.02,,,1021,,,0,376,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Daylight Time,,,,,,3/16/2022 17:12,zachary.tomlinson_OWRB,3/16/2022 17:12,zachary.tomlinson_OWRB,-96.40904733,34.13364333
15,f805d179-b49a-4166-826b-c464443c77bc,23456,,,,,,,,3/15/2022 17:00,11:10,Central Daylight Time,w,6.1,29.4,19,25,none,yes,,,pumping,,131.84,0,2.25,129.59,black_e_tape,300_ft,,onsite,yes,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small nipple threaded inside sample port,,1/18/2022 18:00,,3,,,,,,560,18.868,518,3.6,7.22,129.1,yes,,,,,600,,yes,128.38,0,126.13,,126.13,,11:53,Central Daylight Time,10,103.03,,,518,,,0,197,123,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Daylight Time,,,,,,3/16/2022 17:12,zachary.tomlinson_OWRB,3/16/2022 17:12,zachary.tomlinson_OWRB,-96.84069567,34.06467883
16,0e160556-8b7f-4503-8e9b-58d2c9a2b769,207914,Antlers,Choctaw,Agriculture (non irr),34.03,-95.66,,text to ask if there is a water softener,3/8/2022 18:00,9:52,Central Standard Time,ne,0.8,29.64,6.7,100,none,yes,,,normal,access port,53.68,0,1.19,52.49,electric,300_ft,hardness diluted to 50%,onsite,no,240,260,,,,,,,260,52.49,5,yes,50,262.69,,,,262.69,,,,,,flowmeter,278,,,,,278,,11 gpm,,,,,,,,,,,,GHT,,1/18/2022 18:00,,3,,,,,,600,16.87,745,1.22,7.61,63.4,yes,,,,,520,,yes,53.81,0,52.62,,52.62,,11:07,Central Standard Time,10,129.01,,,745,,,0,299,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Standard Time,,,,,,4/11/2022 15:21,anthony.huey_OWRB1,4/11/2022 15:21,anthony.huey_OWRB1,0,0
